Device,Test Name,Test Status,Message(s),Test description,Test category
spine4,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
spine4,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
spine4,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
spine4,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
spine4,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
spine4,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
spine4,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
spine4,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
spine4,VerifyCoredump,success,,Verifies there are no core dump files.,System
spine4,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
spine4,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
spine4,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
spine4,VerifyNTP,success,,Verifies if NTP is synchronised.,System
spine4,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
